
Spring,2016,CALVIN POLLAK, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,CC,Lect,14,16,88%,7.57,4.21,4.07,4.07,4.21,4.21,4.29,4.14,3.79,3.36

Spring,2016,JACOB GOESSLING, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,D,Lect,11,13,85%,6.64,4.82,4.82,4.55,4.73,4.64,4.64,4.55,4.64,4.45

Spring,2016,RACHEL GOODMANSON, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,DD,Lect,14,19,74%,6.50,4.93,4.79,4.93,5.00,4.86,4.86,4.93,4.93,4.71

Spring,2016,JAMIE SMITH, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,E,Lect,18,18,100%,6.83,4.72,4.78,4.72,4.67,4.44,4.61,4.83,4.67,4.78

Spring,2016,RYAN RODERICK, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,EE,Lect,18,19,95%,6.83,4.61,4.33,4.33,4.50,4.28,4.39,4.83,4.50,4.28

Spring,2016,LISA AVERY, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,FF,Lect,8,15,53%,5.75,3.13,2.75,2.88,2.88,2.88,3.00,3.38,2.75,2.63

Spring,2016,DANIELLE WETZEL, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,H,Lect,9,18,50%,7.67,4.89,4.56,4.44,4.89,4.78,4.89,5.00,4.56,4.44

Spring,2016,RYAN RODERICK, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,HH,Lect,19,19,100%,7.05,4.79,4.63,4.42,4.58,4.74,4.58,4.89,4.58,4.37

Spring,2016,JAMIE SMITH, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,I,Lect,20,20,100%,6.65,4.95,4.90,4.95,4.85,4.45,4.75,5.00,4.80,4.75

Spring,2016,DANIEL DICKSON-LAPRADE, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,II,Lect,10,18,56%,5.38,4.60,4.60,4.70,4.60,4.60,4.60,5.00,4.60,4.40

Spring,2016,AQDAS AFTAB, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,J,Lect,17,18,94%,6.24,4.65,4.76,4.65,4.53,4.76,4.53,4.76,4.53,4.53

Spring,2016,JULIANN REINEKE, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,JJ,Lect,18,19,95%,6.06,4.89,4.67,4.72,4.67,4.44,4.50,4.94,4.61,4.33

Spring,2016,STEVEN GOTZLER, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,K,Lect,15,19,79%,8.20,4.27,4.67,4.53,4.47,4.40,4.53,4.60,4.40,4.40

Spring,2016,PAVITHRA KASUN TANTRIGODA, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,KK,Lect,13,19,68%,6.85,4.62,4.69,4.54,4.69,4.54,4.38,5.00,4.38,4.15

Spring,2016,JULIANN REINEKE, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,L,Lect,17,18,94%,6.69,4.88,4.88,4.94,4.88,4.65,4.76,4.82,4.94,4.76

Spring,2016,DANIEL DICKSON-LAPRADE, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,LL,Lect,14,19,74%,6.85,4.79,4.57,4.50,4.57,4.57,4.57,4.93,4.79,4.50

Spring,2016,AVERY WISCOMB, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,M,Lect,15,17,88%,7.60,4.73,4.87,4.87,4.67,4.87,4.67,5.00,4.93,4.47

Spring,2016,MARGARET GOSS, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,MM,Lect,19,19,100%,6.26,4.58,4.74,4.53,4.53,4.42,4.53,4.68,4.42,4.16

Spring,2016,WILLIAM PENMAN, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,NN,Lect,16,18,89%,6.50,4.75,4.81,4.75,4.69,4.69,4.75,4.88,4.69,4.56

Spring,2016,MATTHEW NELSON, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,O,Lect,13,18,72%,5.46,4.69,4.62,4.46,4.77,4.54,4.46,4.92,4.69,4.62

Spring,2016,CRAIG STAMM, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,P,Lect,17,19,89%,5.88,4.44,4.81,4.56,4.50,4.69,4.75,4.69,4.75,4.63

Spring,2016,MATTHEW LAMBERT, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,PP,Lect,14,19,74%,6.71,4.50,4.71,4.64,4.86,4.36,4.43,4.86,4.43,4.36

Spring,2016,STEVEN GOTZLER, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,Q,Lect,16,18,89%,8.57,3.94,4.56,4.50,4.38,4.06,4.25,4.38,4.25,3.80

Spring,2016,AVERY WISCOMB, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,QQ,Lect,15,18,83%,9.00,4.80,4.73,4.87,4.53,4.87,4.80,4.67,4.87,4.53

Spring,2016,RYAN MITCHELL, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,R,Lect,15,19,79%,10.07,4.13,4.00,3.93,4.20,3.67,4.13,4.20,4.27,3.47

Spring,2016,JESSICA WILTON, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,RR,Lect,7,17,41%,8.43,4.86,4.29,4.71,4.86,4.57,4.29,5.00,4.86,4.43

Spring,2016,MATTHEW NELSON, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,S,Lect,13,20,65%,6.62,4.85,4.77,4.85,4.85,4.85,4.77,4.92,4.92,4.62

Spring,2016,JESSICA WILTON, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,SS,Lect,11,17,65%,7.45,4.27,3.82,4.00,4.18,3.82,3.82,4.64,4.09,3.64

Spring,2016,BRET VUKODER, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,TT,Lect,15,19,79%,6.20,4.87,4.93,4.93,4.93,4.87,4.93,5.00,5.00,5.00

Spring,2016,KATE HAMILTON, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,U,Lect,13,17,76%,6.38,4.92,4.85,4.69,4.77,4.69,4.77,5.00,4.69,4.69

Spring,2016,EMILY FERRIS, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,UU,Lect,17,18,94%,6.41,4.35,4.24,4.35,4.41,4.12,4.12,4.35,4.25,4.06

Spring,2016,BRET VUKODER, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,V,Lect,11,20,55%,6.64,4.91,4.91,4.91,5.00,4.82,4.91,4.91,5.00,4.91

Spring,2016,ADAM HODGES, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,W,Lect,11,11,100%,14.40,4.55,4.64,4.64,4.09,4.30,4.73,4.73,4.36,4.55

Spring,2016,LUDMILA HYMAN, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,WW,Lect,10,17,59%,10.20,5.00,4.80,4.90,4.90,5.00,4.90,5.00,5.00,4.90

Spring,2016,LUDMILA HYMAN, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,X,Lect,12,16,75%,10.08,4.67,4.58,4.58,4.58,4.67,4.67,4.75,4.75,4.67

Spring,2016,THOMAS MITCHELL, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,XX,Lect,9,9,100%,10.63,4.44,4.56,4.67,4.33,4.67,4.56,4.56,4.67,4.78

Spring,2016,THOMAS MITCHELL, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,Y,Lect,11,15,73%,11.67,4.45,4.64,4.73,4.45,4.27,4.55,4.73,4.45,4.00

Spring,2016,SILVIA PESSOA, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,YY,Lect,15,17,88%,10.53,4.40,4.40,4.20,4.40,4.27,4.33,4.47,4.33,4.33

Spring,2016,SILVIA PESSOA, Dietrich College of Humanities and Social Sciences,76101,INTERPRETN & ARGMNT,Z,Lect,10,13,77%,10.50,4.30,4.40,4.20,4.50,4.22,4.30,4.20,4.40,4.40

Spring,2016,LINDA FLOWER, Dietrich College of Humanities and Social Sciences,76118,FRESHMAN SEMINAR,A,Lect,6,9,67%,6.80,4.50,3.17,3.17,4.17,4.00,3.67,4.67,3.50,3.33

Spring,2016,ALAN KENNEDY, Dietrich College of Humanities and Social Sciences,76221,BOOKS READ BY NOW,A,Lect,9,21,43%,7.67,2.78,3.00,3.00,2.38,3.00,3.00,3.00,2.56,2.67

Spring,2016,RICHARD PURCELL, Dietrich College of Humanities and Social Sciences,76238,MEDIA & FILM STUDIES,A,Lect,8,18,44%,6.13,4.63,4.50,4.75,4.38,4.63,4.63,5.00,4.63,4.38

Spring,2016,DAVID SHUMWAY, Dietrich College of Humanities and Social Sciences,76239,MEDIA/FILM STUDIES,A,Lect,7,17,41%,8.86,4.29,4.00,4.14,4.29,4.86,4.86,4.71,4.57,4.57

Spring,2016,KATE HAMILTON, Dietrich College of Humanities and Social Sciences,76241,GENDER STUDIES,A,Lect,11,15,73%,8.55,5.00,5.00,5.00,4.82,5.00,5.00,5.00,5.00,5.00

Spring,2016,PEGGY KNAPP, Dietrich College of Humanities and Social Sciences,76245,SHAKESPR HIS & TRAG,1,Lect,20,25,80%,6.80,4.65,3.75,4.05,3.75,4.55,4.20,4.55,4.32,4.25

Spring,2016,NATALIE SUZELIS, Dietrich College of Humanities and Social Sciences,76245,SHAKESPR HIS & TRAG,B,Lect,8,11,73%,5.00,4.50,4.25,4.25,4.50,4.50,4.38,4.88,4.75,4.25

Spring,2016,ANJALI SACHDEVA, Dietrich College of Humanities and Social Sciences,76260,SURVEY FORMS:FICTION,A,Lect,8,17,47%,5.75,4.50,4.63,4.50,4.13,4.25,4.38,4.75,4.50,4.25

Spring,2016,KEVIN GONZALEZ, Dietrich College of Humanities and Social Sciences,76260,SURVEY FORMS:FICTION,B,Lect,11,18,61%,9.45,4.27,3.82,4.27,4.73,4.27,3.91,4.45,4.18,4.00

Spring,2016,JANE BERNSTEIN, Dietrich College of Humanities and Social Sciences,76262,SURVEY FORMS: NONFIC,A,Lect,13,15,87%,10.00,4.77,3.92,4.54,4.62,4.77,4.69,4.85,4.69,4.69

Spring,2016,GERALD COSTANZO, Dietrich College of Humanities and Social Sciences,76265,SURVEY FORMS: POETRY,A,Lect,11,17,65%,4.73,4.64,4.36,4.36,4.55,4.82,4.73,4.73,4.64,4.64

Spring,2016,LAUREN SHAPIRO, Dietrich College of Humanities and Social Sciences,76265,SURVEY FORMS: POETRY,B,Lect,12,16,75%,6.09,4.67,4.75,4.67,4.92,4.75,4.75,4.75,4.58,4.50

Spring,2016,SHARON DILWORTH, Dietrich College of Humanities and Social Sciences,76269,SURVY FRM SCREENWRTG,A,Lect,14,20,70%,7.36,4.29,3.71,4.14,4.07,4.43,4.36,3.93,3.86,4.07

