
Spring,2016,JARED COHON, Carnegie Institute of Technology,12657,WTR RESOURCE SYS ENG,A,Lect,23,29,79%,9.19,4.48,4.48,4.57,4.30,4.52,4.61,4.65,4.35,4.35,,,,,,,,,,,

Spring,2016,DAVID DZOMBAK, Carnegie Institute of Technology,12690,INDEPENDENT STUDY,B,Lect,2,3,67%,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,

Spring,2016,LIU, X.  (co-taught), Carnegie Institute of Technology,12711,BIM ENG CONS FAC MGM,A,Lect,27,32,84%,9.81,4.22,4.26,4.15,3.96,4.26,4.15,4.70,4.07,3.92,,,,,,,,,,,

Spring,2016,YEOH, K.  (co-taught), Carnegie Institute of Technology,12711,BIM ENG CONS FAC MGM,A,Lect,27,32,84%,9.04,4.44,4.08,4.08,3.96,4.12,4.16,4.64,4.08,3.84,,,,,,,,,,,

Spring,2016,LIU, X.  (co-taught), Carnegie Institute of Technology,12711,BIM ENG CONS FAC MGM,B,Lect,21,29,72%,8.15,4.05,3.81,3.76,3.67,3.86,3.95,4.43,3.86,3.62,,,,,,,,,,,

Spring,2016,YEOH, K.  (co-taught), Carnegie Institute of Technology,12711,BIM ENG CONS FAC MGM,B,Lect,21,29,72%,8.33,4.10,3.80,3.75,3.80,3.85,3.80,4.50,4.10,3.60,,,,,,,,,,,

Spring,2016,GWEN DIPIETRO, Carnegie Institute of Technology,12714,ENV LFE CYC ASSMNT,A,Lect,18,23,78%,12.94,4.17,4.06,3.94,4.22,3.94,3.78,4.44,3.83,3.72,,,,,,,,,,,

Spring,2016,ATHANASIOS KARAMALIDIS, Carnegie Institute of Technology,12718,EESS PROJECT,A,Lect,17,23,74%,10.29,4.24,3.94,4.06,4.24,4.00,4.00,4.76,3.82,3.88,,,,,,,,,,,

Spring,2016,KELVIN GREGORY, Carnegie Institute of Technology,12724,BIOLGL WASTWTR MANGM,A,Lect,14,18,78%,11.21,4.00,4.00,4.00,3.71,4.43,4.07,4.57,4.00,3.86,,,,,,,,,,,

Spring,2016,PETER ADAMS, Carnegie Institute of Technology,12726,MATH MDL ENV QUA SY,A,Lect,20,25,80%,11.20,4.65,4.63,4.63,4.42,4.65,4.65,4.75,4.75,4.65,,,,,,,,,,,

Spring,2016,RICHARD WICE, Carnegie Institute of Technology,12728,REMEDTN  ENG,A,Lect,24,30,80%,8.50,3.96,4.13,4.00,3.71,4.21,4.00,4.54,3.92,3.83,,,,,,,,,,,

Spring,2016,GREGORY LOWRY, Carnegie Institute of Technology,12730,SP TPC: ENVNL NANTCH,A,Lect,15,20,75%,10.40,4.27,4.07,4.00,3.87,4.27,4.07,4.67,3.93,3.93,,,,,,,,,,,

Spring,2016,MATTEO POZZI, Carnegie Institute of Technology,12735,SP TPC URBN SYS MODG,A,Lect,14,16,88%,13.50,4.50,4.50,4.36,4.64,4.50,4.43,4.79,4.50,4.54,,,,,,,,,,,

Spring,2016,SUSAN FINGER, Carnegie Institute of Technology,12745,AIS PROJECT,A,Lect,8,14,57%,9.50,4.25,4.00,4.13,4.25,4.25,4.13,4.50,4.25,4.13,,,,,,,,,,,

Spring,2016,CONSTANTINOS SAMARAS, Carnegie Institute of Technology,12749,ST: CLIM CHGE ADAPT,A4,Lect,32,40,80%,7.63,4.47,4.69,4.44,4.31,4.66,4.56,4.75,4.50,4.41,,,,,,,,,,,

Spring,2016,COFFELT, D.  (co-taught), Carnegie Institute of Technology,12750,INFRASTRUCTURE MGMT,A,Lect,20,22,91%,9.42,4.25,4.35,4.35,4.15,4.40,4.25,4.65,4.15,4.15,,,,,,,,,,,

Spring,2016,QIAN, Z.  (co-taught), Carnegie Institute of Technology,12750,INFRASTRUCTURE MGMT,A,Lect,20,22,91%,9.95,4.21,4.32,4.21,4.16,4.26,4.16,4.53,4.21,4.26,,,,,,,,,,,

Spring,2016,JACOBO BIELAK, Carnegie Institute of Technology,12755,FINITE ELEM MECH I,A,Lect,10,15,67%,12.60,4.60,4.60,4.80,4.70,4.70,4.70,4.90,4.70,4.70,,,,,,,,,,,

Spring,2016,HAE YOUNG NOH, Carnegie Institute of Technology,12761,ST SENS DATA MINING,A,Lect,11,13,85%,12.00,4.64,4.45,4.64,4.55,4.55,4.45,4.82,4.27,4.27,,,,,,,,,,,

Spring,2016,KELLY KLIMA, Carnegie Institute of Technology,12765,INT CLM ADP INN CRTL,A3,Lect,16,29,55%,7.81,3.56,3.63,3.56,3.69,3.81,3.75,4.44,3.69,3.38,,,,,,,,,,,

Spring,2016,AMIT ACHARYA, Carnegie Institute of Technology,12782,ST PLASTICITY DISLOC,A,Lect,4,4,100%,8.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,

Spring,2016,GREGORY LOWRY, Carnegie Institute of Technology,12794,GRADUATE SEMINAR,A,Lect,12,36,33%,2.00,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,,,,,,,,,,,

Spring,2016,SUSAN FINGER, Carnegie Institute of Technology,12794,GRADUATE SEMINAR,B,Lect,12,18,67%,6.30,5.00,4.83,4.83,4.83,4.67,4.50,4.92,4.83,4.73,,,,,,,,,,,

Spring,2016,AMIT ACHARYA, Carnegie Institute of Technology,12794,GRADUATE SEMINAR,C,Lect,7,10,70%,2.00,4.43,4.57,4.43,4.43,4.43,4.43,4.43,4.43,4.43,,,,,,,,,,,

Spring,2016,DAVID DZOMBAK, Carnegie Institute of Technology,12794,GRADUATE SEMINAR,D,Lect,73,108,68%,2.30,4.45,4.45,4.44,4.35,4.45,4.48,4.61,4.48,4.45,,,,,,,,,,,

Spring,2016,DAVID DZOMBAK, Carnegie Institute of Technology,12796,ST: COMM RESEARCH,A4,Lect,6,14,43%,5.75,4.50,4.67,4.83,4.17,4.83,4.67,4.83,4.67,4.67,,,,,,,,,,,

Spring,2016,SUSANA STEPPAN, Carnegie Institute of Technology,06100,INTRO TO CHEM ENGR,1,Lect,26,33,79%,8.52,4.23,4.08,4.12,3.73,4.08,3.85,4.35,3.92,3.88,,,,,,,,,,,

Spring,2016,MYUNG JHON, Carnegie Institute of Technology,06261,FLUID MECHANICS,A,Lect,34,79,43%,10.41,3.47,3.74,3.62,3.35,3.97,3.56,3.55,3.65,3.67,,,,,,,,,,,

Spring,2016,ADITYA KHAIR, Carnegie Institute of Technology,06262,MATH MTHDS CHEM ENGR,A,Lect,36,77,47%,9.42,4.61,4.56,4.56,4.31,4.53,4.39,4.69,4.25,4.28,,,,,,,,,,,

Spring,2016,KATHRYN WHITEHEAD, Carnegie Institute of Technology,06361,UNIT OP CHEMICAL ENG,A,Lect,49,62,79%,7.27,4.69,4.61,4.65,4.16,4.78,4.69,4.51,4.63,4.63,,,,,,,,,,,

Spring,2016,LYNN WALKER, Carnegie Institute of Technology,06363,TRANSPORT PROCSS LAB,1,Lect,32,59,54%,9.50,4.06,3.59,3.75,3.72,3.94,3.50,3.90,3.59,3.50,,,,,,,,,,,

Spring,2016,MICHAEL DOMACH, Carnegie Institute of Technology,06364,CHEMCL REACTION ENGN,A,Lect,39,62,63%,7.21,3.49,2.69,2.62,2.82,3.23,2.23,4.03,2.38,2.44,,,,,,,,,,,

Spring,2016,DONAHUE, N.  (co-taught), Carnegie Institute of Technology,06460,ST: CLIMATE FOR CHE,A,Lect,5,9,56%,5.60,4.80,4.00,4.00,4.60,5.00,4.60,5.00,4.40,4.00,,,,,,,,,,,

Spring,2016,GROSSMANN, I.  (co-taught), Carnegie Institute of Technology,06460,ST: CLIMATE FOR CHE,A,Lect,5,9,56%,5.75,4.80,4.20,4.00,4.40,5.00,4.80,5.00,4.40,4.20,,,,,,,,,,,

Spring,2016,CHRYSANTHOS GOUNARIS, Carnegie Institute of Technology,06462,OPTM MDG & ALGRTHMS,A3,Lect,32,60,53%,8.19,4.75,4.41,4.41,4.19,4.41,4.45,4.53,4.47,4.44,,,,,,,,,,,

Spring,2016,CHRYSANTHOS GOUNARIS, Carnegie Institute of Technology,06463,CHEMICAL PRDT DESIGN,A4,Lect,25,60,42%,8.36,4.52,4.32,4.36,4.44,4.28,4.08,4.60,4.52,4.20,,,,,,,,,,,

Spring,2016,MARK DAICHENDT, Carnegie Institute of Technology,06464,CHML ENG PROCESS CNT,A,Lect,24,54,44%,15.88,1.92,1.75,1.71,1.50,1.67,1.50,1.92,1.29,1.42,,,,,,,,,,,

Spring,2016,ROSEMARY FROLLINI, Carnegie Institute of Technology,06466,EXPERMTL POLYMER SCI,A,Lect,1,3,33%,8.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,

Spring,2016,DENNIS PRIEVE, Carnegie Institute of Technology,06607,PHYS CHEM COLL SURF,A,Lect,17,25,68%,12.06,4.35,4.29,4.35,3.94,4.29,4.24,4.59,4.29,4.18,,,,,,,,,,,

Spring,2016,NIKOLAOS SAHINIDIS, Carnegie Institute of Technology,06611,SPEC TPCS: CS IN CHE,A,Lect,6,10,60%,10.00,5.00,4.33,4.50,4.67,4.67,4.33,5.00,4.67,4.50,,,,,,,,,,,

Spring,2016,JOHN KITCHIN, Carnegie Institute of Technology,06640,PRINC & APP MOLE SIM,A,Lect,11,15,73%,12.36,4.00,4.09,4.00,3.91,3.82,3.82,4.27,3.91,3.82,,,,,,,,,,,

Spring,2016,PAUL SIDES, Carnegie Institute of Technology,06663,ANLY & MDG TRNSP PHN,A,Lect,23,38,61%,11.17,3.83,3.65,3.91,3.39,4.04,4.00,4.13,3.83,3.57,,,,,,,,,,,

Spring,2016,MARK DAICHENDT, Carnegie Institute of Technology,06665,PROCESS SYSTEMS MDLG,A,Lect,22,37,59%,15.73,3.27,3.32,3.32,3.27,3.23,2.82,3.73,2.77,2.82,,,,,,,,,,,

Spring,2016,ANDREW GELLMAN, Carnegie Institute of Technology,06702,ADVANCED KINETICS,A,Lect,7,9,78%,10.29,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,,,,,,,,,,,

Spring,2016,SHELLEY ANNA, Carnegie Institute of Technology,06704,ADV HEAT MASS TRANS,A,Lect,6,11,55%,13.00,4.83,4.83,4.83,4.67,4.67,4.83,5.00,4.83,4.83,,,,,,,,,,,

